method,VaR,ES,confidence_level,current_value,number_of_scenarios
historical,672.5066551630822,989.9991387716586,0.95,4505.33049095487,1253.0
monte_carlo,700.306338199768,889.1375553637331,0.95,4505.33049095487,10000.0
parametric,717.0516605581803,,0.95,4505.33049095487,
ewma_historical,485.1468760442267,536.9389019874768,0.95,4505.33049095487,1253.0
ewma_parametric,572.2098071427356,,0.95,4505.33049095487,
ewma_monte_carlo,562.3304905911458,703.6970319398725,0.95,4505.33049095487,10000.0
mc_user_params,776.2176731584623,983.8211152665433,0.95,4505.33049095487,10000.0
param_user_params,793.9409301055455,,0.95,4505.33049095487,
