method,confidence_level,number_of_observations,number_of_exceptions,expected_exception_rate,actual_exception_rate,pass_fail_simple,interpretation,kupiec_p_value,consecutive_exception_pairs,clustering_concern,clustering_note
historical,0.95,1003,71,0.050000000000000044,0.0707876370887338,True,Observed exception rate is within the simple diagnostic tolerance.,0.004359853370127009,14,True,"14 consecutive exception pair(s) detected — possible clustering, investigate further."
parametric,0.95,1003,62,0.050000000000000044,0.06181455633100698,True,Observed exception rate is within the simple diagnostic tolerance.,0.09723291375525456,14,True,"14 consecutive exception pair(s) detected — possible clustering, investigate further."
monte_carlo,0.95,1003,62,0.050000000000000044,0.06181455633100698,True,Observed exception rate is within the simple diagnostic tolerance.,0.09723291375525456,13,True,"13 consecutive exception pair(s) detected — possible clustering, investigate further."
ewma_historical,0.95,1003,60,0.050000000000000044,0.05982053838484546,True,Observed exception rate is within the simple diagnostic tolerance.,0.16571321036882858,5,True,"5 consecutive exception pair(s) detected — possible clustering, investigate further."
ewma_parametric,0.95,1003,51,0.050000000000000044,0.05084745762711865,True,Observed exception rate is within the simple diagnostic tolerance.,0.902250303776331,6,True,"6 consecutive exception pair(s) detected — possible clustering, investigate further."
ewma_monte_carlo,0.95,1003,53,0.050000000000000044,0.05284147557328016,True,Observed exception rate is within the simple diagnostic tolerance.,0.6823313859132312,6,True,"6 consecutive exception pair(s) detected — possible clustering, investigate further."
